identifier,questions,program,objectType,status,resourceType,node_id,author,name,language,versionKey
do_11292651409217126413,"do_112926532898471936159,do_112926541066952704168","CBSE New",Content,Live,Learn,373804,"Creation, VB","Practice QuestionSet",English,1577961787010
do_11291097218270003215,"do_112906879067152384132,do_1129109718003220481340,do_112906085688156160117",CBSE,Content,Live,Practice,363452,Creation,"Multiple Choice Question - Topic 2",English,1587632764712
do_1129061173359329281280,do_11290611550184243211,CBSE,Content,Live,Practice,353880,Creation,"Long Answer - Topic 2",English,1575453777266
do_1129061170339512321279,do_11290611550184243211,CBSE,Content,Live,Practice,353879,Creation,"Long Answer - Topic 2",English,1575453741179
do_11290603355578368016,do_11283676907619123211,CBSE,Content,Live,Practice,358914,Test,"Long Answer - Topic 4",English,1575443550142
do_11290602012434432013,do_112905967065595904190,CBSE,Content,Live,Practice,358911,Creation,"Very Short Answer - Topic 2",English,1575441911150
do_112885488760750080142,do_112885488222494720139,CBSE,Content,Live,Practice,312785,Creation,"Very Short Answer - Topic 4",English,1572935640626
do_112885474119606272120,do_11284906820259020812,CBSE,Content,Live,Practice,312128,Creation,"Long Answer - Topic 1",English,1572933853568
do_112875702770991104130,"do_11282830196157644817,do_112825504535568384111",CBSE,Content,Live,Practice,314781,Sh,"Very Short Answer - Topic 1",English,1571741062215
do_11284511487685427216,do_11284511428278681615,CBSE,Content,Live,Practice,257310,Creation,"Very Short Answer - Topic 4",English,1568007188511
do_11284511266356428814,do_112776006515752960164,CBSE,Content,Live,Practice,257911,"","Long Answer - Topic 1",English,1568006918713
do_112843011377291264114,do_1127815662670970881177,CBSE,Content,Live,Practice,257772,"","Short Answer - Topic 1",English,1567750413817
do_11284180369415372819,"do_11284179648112230416,do_11284179797096857617",CBSE,Content,Live,Practice,258763,"","Short Answer - Topic 3",English,1579695616592
do_11284177637851136015,"do_11282830196157644817,do_112825504535568384111,do_112777988509196288168,do_11278568162492416014207,do_11282548134394265616,do_112777893753839616130,do_112811913749782528142",CBSE,Content,Live,Practice,258270,Sh,"Very Short Answer - Topic 1",English,1571317051996
do_11284177247005081614,"do_11284176676968857613,do_11284176611857203212,do_11284176538000588811",CBSE,Content,Live,Practice,325845,Creation,"Long Answer - Topic 3",English,1567599179921
do_112841686703693824113,do_112837366349103104113,CBSE,Content,Live,Practice,227018,Creation123,"Very Short Answer - Topic 1",English,1567588710155
do_11284108683917721617,do_112798616147943424175,CBSC,Content,Live,Practice,226209,"","Very Short Answer - Topic 1",English,1567515493044
do_112837456239648768115,"do_1128261837782056961237,do_11282675905060864012,do_112798616147943424175,do_112822514531090432143,do_112820481669939200119,do_112821208837120000172,do_1128261559067852801226",CBSE,Content,Live,Practice,258497,Creation1,"Very Short Answer - Topic 1",English,1571316830814
do_11283183021007667216,"do_11281340744363212816,do_11282548435063603218,do_11281340769348812817,do_11281333301233254416,do_11281332637138124814,do_11281340791848960018",CBSE,Content,Live,Practice,226232,"","Multiple Choice Question - Topic 1",English,1566541824808
do_11283026581177958414,"do_112777988509196288168,do_112777893753839616130,do_112776008691122176165,do_112775880653709312123,do_11278568162492416014207,do_112811901172457472138,do_112811913749782528142",CBSE,Content,Live,Practice,228381,"","Some random name",English,1567058998792
do_11282824293965824013,"do_112820481669939200119,do_1128261837782056961237,do_112822514531090432143,do_1128261559067852801226",CBSE,Content,Live,Practice,227545,"","Very Short Answer - Topic 1",English,1567067378979
do_11282693664029900817,do_1127829339875573761251,CBSE,Content,Live,Practice,226499,"","MCQ - Topic 2 child",English,1565788165094
do_11282692401699225616,"do_11278355107466444812,do_112783040869924864114",CBSE,Content,Live,Practice,227839,"","MCQ - Topic 3",English,1565786624270
do_11282692280039833615,"do_11279367644008448012,do_11279628370231296015,do_11279365126560972814",CBSE,Content,Live,Practice,226248,"","Multiple Choice Question - To",English,1565786475598
do_11282692248983961614,do_11278570861122355214211,CBSE,Content,Live,Practice,226388,"","Short Answer - Topic 1 childs",English,1565786437525
do_112826842002251776131,do_11282675905060864012,CBSE,Content,Live,Practice,311194,"","Very Short Answer - Topic 1",English,1565776612715
do_11282683265617920016,do_11282675905060864012,CBSE,Content,Live,Practice,226750,"","Very Short Answer - Topic 1",English,1565775472144
do_1128267349343600641255,"do_112824210155552768178,do_1128267263272632321253",CBSE,Content,Live,Practice,227640,"","Multiple Choice Question - Topic 1",English,1565763543038
do_1128262246866452481250,"do_112823887922692096174,do_112824210155552768178",CBSE,Content,Live,Practice,227941,"","Multiple Choice Question - Topic 1",English,1565701256541
do_1128261324801720321197,do_11278357144634163218,CBSE,Content,Live,Practice,226732,"","Long Answer - Topic 1 child",English,1565690001044
do_1128260386685419521159,"do_112793552452263936113,do_112793553784332288114,do_112793541655478272111",CBSE,Content,Live,Practice,228135,"","Very Short Answer - Topic 1 child Update.",English,1579713757820
do_1128260312503336961153,do_112815517596008448179,CBSE,Content,Live,Practice,227257,"","Long Answer - Topic 1",English,1565677643726
do_1128260094534451201139,do_112841736842223616115,CBSE,Content,Live,Practice,227673,"","Short Answer - Topic 1",English,1568804202965
do_112824662355910656184,"do_112825320047575040188,do_1128261858207580161238,do_1128267263272632321253",CBSE,Content,Live,Practice,226419,"","MCQ - Topic 1 - firstquestion",English,1565785491916
do_112824239383748608180,do_11278572533293875214213,CBSE,Content,Live,Practice,226993,"","Multiple Choice Question - Topic 4 first question",English,1565458911262
do_112824238715617280179,"do_112797164404531200166,do_112797164979298304167",CBSE,Content,Live,Practice,227244,"","first question- Topic 4",English,1565458830556
do_112824203357429760177,do_112796478513741824114,CBSE,Content,Live,Practice,227806,"","FirstQuestion Topic 2",English,1565454513259
do_112823236916731904167,"do_112775805271613440118,do_1128261837782056961237,do_112773734660096000157,do_11282675905060864012,do_1127814895718318081162,do_112821208837120000172,do_112773830794952704110,do_112768156405145600113,do_112773841708883968111,do_112775795715080192117",CBSE,Content,Live,Practice,226371,"","VSA TOPIC 1 - Uii",English,1565787988546
do_112823192967708672162,"do_112820481669939200119,do_112821208837120000172",CBSE,Content,Live,Practice,226497,"","Very Short Answer - Topic 1",English,1565331173907
do_112823185502969856161,do_112796478513741824114,CBSE,Content,Live,Practice,227944,"","Very Short Answer - Topic 2",English,1565330262533
do_112823183611363328160,"do_112793557206196224115,do_112793553784332288114",CBSE,Content,Live,Practice,228185,"","Very Short Answer - Topic 1 child",English,1565330031659
do_112823182995398656159,"do_112820481669939200119,do_112775805271613440118,do_112821208837120000172,do_1127814895718318081162",CBSE,Content,Live,Practice,227532,"","Very Short Answer - Topic 1",English,1565329956911
do_112822493792051200138,do_112772471761575936136,CBSE,Content,Live,Practice,226251,"","Very Short Answer - Topic 1",English,1565245825101
do_112822493300572160137,"do_112821208837120000172,do_1127814895718318081162",CBSE,Content,Live,Practice,228587,"","Very Short Answer - Topic 1",English,1565245765462
do_11282187619405004817,do_112821208018755584171,CBSC,Content,Live,Practice,227405,"","undefined - Topic 1",English,1565170434797
do_11282187557475942416,do_112821208018755584171,CBSC,Content,Live,Practice,226456,"","undefined - Topic 1",English,1565170364429
do_11282186467232972815,do_112821208018755584171,CBSC,Content,Live,Practice,227052,"","undefined - Topic 1",English,1565169034905
do_1128212401986109441116,do_1127814895718318081162,CBSE,Content,Live,Practice,228254,"","Very Short Answer - Topic 1",English,1565092799218
do_112820495513985024122,do_112793557206196224115,CBSE,Content,Live,Practice,280495,"","Very Short Answer - Topic 1 child",English,1565001894872
do_112820491293908992121,"do_112793557206196224115,do_112793553784332288114",CBSE,Content,Live,Practice,280471,"","Very Short Answer - Topic 1 child",English,1565001379938
do_112820484199702528120,"do_112793553784332288114,do_112793557206196224115,do_112793552452263936113",CBSE,Content,Live,Practice,226592,"","Very Short Answer - Topic 1 child",English,1565000513647
do_112820475402371072118,"do_1127814895718318081162,do_112775805271613440118",CBSE,Content,Live,Practice,228346,"","Very Short Answer - Topic 1",English,1564999440167
do_112820469681446912116,"do_1127814895718318081162,do_112775805271613440118",CBSE,Content,Live,Practice,226794,"","Very Short Answer - Topic 1",English,1564998741847
do_112820464504471552115,do_1127814895718318081162,CBSE,Content,Live,Practice,227433,"","Very Short Answer - Topic 1",English,1564998110055
do_112818415558950912110,do_112775805271613440118,CBSE,Content,Live,Practice,340138,"","Very Short Answer - Topic 1",English,1564747994270
do_11281839665374003214,do_112773841708883968111,CBSE,Content,Live,Practice,341181,"","Very Short Answer - Topic 1",English,1564745690799
do_11281833546954342413,"do_112811901172457472138,do_112777893753839616130,do_11278568162492416014207,do_112776008691122176165,do_112811913749782528142,do_112777988509196288168,do_112775880653709312123",CBSE,Content,Live,Practice,339571,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","Very Short Answer - Topic 1",English,1564738218816
do_112813512024293376133,do_112777893753839616130,CBSE,Content,Live,Practice,218764,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","LocalTesting 4",English,1568808796488
do_112813509346312192132,"do_112775880653709312123,do_112811913749782528142,do_112811901172457472138,do_112777988509196288168,do_112777893753839616130,do_112812704485539840110,do_112776008691122176165",CBSE,Content,Live,Practice,254181,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","Very Short Answer - बचपन",English,1564149096560
do_112813509089517568131,"do_112777893753839616130,do_112812704485539840110,do_112777988509196288168,do_112811913749782528142,do_112776008691122176165,do_112775880653709312123,do_112811901172457472138",CBSE,Content,Live,Practice,291475,"Creation, somvit bhowmik, Reviewer User, Kartheek Palla","Curiosity Question - बचपन",English,1564149066414
do_112813508933738496130,"do_112777893753839616130,do_112812704485539840110,do_112775880653709312123,do_112776008691122176165,do_112811901172457472138,do_112811913749782528142,do_112777988509196288168",CBSE,Content,Live,Practice,291742,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","Very Short Answer - बचपन",English,1564149046185
do_112813507729391616129,"do_112775880653709312123,do_112777893753839616130,do_112812704485539840110,do_112776008691122176165",CBSE,Content,Live,Practice,298489,"Creation, somvit bhowmik, Reviewer User, Kartheek Palla","LocalTesting 4",English,1564148962194
do_112813507543269376128,"do_112812704485539840110,do_112775880653709312123,do_112776008691122176165,do_112777988509196288168,do_112811913749782528142,do_112777893753839616130,do_112811901172457472138",CBSE,Content,Live,Practice,341533,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","Very Short Answer - बचपन",English,1564148877212
do_112813507116359680127,"do_112776008691122176165,do_112775880653709312123,do_112777893753839616130,do_112812704485539840110",CBSE,Content,Live,Practice,241315,"Creation, Kartheek Palla, somvit bhowmik, Reviewer User","LocalTesting 4",English,1564148845923
do_112813504870465536126,"do_112777893753839616130,do_112812704485539840110,do_112776008691122176165,do_112775880653709312123",CBSE,Content,Live,Practice,252627,"Creation, Kartheek Palla, somvit bhowmik, Reviewer User","LocalTesting 4",English,1564148565587
do_112813504287055872125,"do_112776008691122176165,do_112775880653709312123,do_112777893753839616130,do_112812704485539840110",CBSE,Content,Live,Practice,240076,"Reviewer User, Kartheek Palla, Creation, somvit bhowmik","LocalTesting 4",English,1564148539668
do_112813503615787008124,"do_112777893753839616130,do_112812704485539840110,do_112775880653709312123,do_112776008691122176165",CBSE,Content,Live,Practice,339671,"Reviewer User, Creation, somvit bhowmik, Kartheek Palla","LocalTesting 4",English,1564148413516
do_112813480186585088113,"do_112777893753839616130,do_112812704485539840110,do_112776008691122176165,do_112775880653709312123",CBSE,Content,Live,Practice,341100,Creation,"LocalTesting 4",English,1564145562693
do_112813478146768896111,"do_112812704485539840110,do_112775880653709312123",CBSE,Content,Live,Practice,340602,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","LocalTesting 3",English,1564145498422
do_112813477375385600110,"do_112811913749782528142,do_112777893753839616130,do_112812704485539840110,do_112811901172457472138,do_112777988509196288168,do_112776008691122176165,do_112775880653709312123",CBSE,Content,Live,Practice,339831,"Reviewer User, Creation, somvit bhowmik, Kartheek Palla","Very Short Answer - बचपन",English,1564145188886
do_11281347512105369616,"do_112811901172457472138,do_112777893753839616130,do_112812704485539840110,do_112811913749782528142,do_112777988509196288168,do_112776008691122176165,do_112775880653709312123",CBSE,Content,Live,Practice,341550,"somvit bhowmik, Creation, Kartheek Palla, Reviewer User","Very Short Answer - बचपन",English,1564144914043
do_112813454351925248137,"do_112812704485539840110,do_112811913749782528142,do_112777893753839616130,do_112775880653709312123,do_112811901172457472138,do_112776008691122176165,do_112777988509196288168",CBSE,Content,Live,Practice,340092,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","Old Name12345",English,1564143063837
do_112813453872594944133,"do_112811901172457472138,do_11278568162492416014207,do_112777988509196288168,do_112811913749782528142",CBSE,Content,Live,Practice,341998,Creation,"Very Short Answer - Topic 1",English,1564142320997
do_112813428245299200120,"do_112811901172457472138,do_112776008691122176165,do_112775880653709312123,do_112811913749782528142,do_112777893753839616130,do_112777988509196288168,do_112812704485539840110",CBSE,Content,Live,Practice,341435,"Creation, Kartheek Palla, somvit bhowmik, Reviewer User","Question 1",English,1564139192286
do_112813424626933760118,"do_112811901172457472138,do_112776008691122176165,do_112811913749782528142,do_112777893753839616130,do_112775880653709312123,do_112777988509196288168,do_112812704485539840110",CBSE,Content,Live,Practice,341832,"Reviewer User, Kartheek Palla, somvit bhowmik, Creation","Question 1",English,1564138750384
do_112813422739251200117,"do_112775880653709312123,do_112811913749782528142,do_112777893753839616130,do_112777988509196288168,do_112812704485539840110,do_112811901172457472138,do_112776008691122176165",CBSE,Content,Live,Practice,340208,"Creation, Kartheek Palla, Reviewer User, somvit bhowmik","Question 1",English,1564138519346
do_112813414230851584116,"do_112811913749782528142,do_112777988509196288168,do_112812704485539840110,do_112777893753839616130,do_112775880653709312123,do_112811901172457472138,do_112776008691122176165",CBSE,Content,Live,Practice,320177,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","Question 1",English,1564137480845
do_112813413215371264115,"do_112811901172457472138,do_112777988509196288168,do_112812704485539840110,do_112811913749782528142,do_112776008691122176165,do_112777893753839616130,do_112775880653709312123",CBSE,Content,Live,Practice,344716,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","Question 1",English,1564137356713
do_112813412999208960114,"do_112811901172457472138,do_112812704485539840110,do_112777988509196288168,do_112811913749782528142,do_112775880653709312123,do_112777893753839616130,do_112776008691122176165",CBSE,Content,Live,Practice,319587,"Creation, somvit bhowmik, Reviewer User, Kartheek Palla","Question 1",English,1564137330428
do_11281340843040768019,"do_11281340791848960018,do_11281333301233254416,do_11281332637138124814,do_11281340769348812817,do_11281340744363212816",CBSE,Content,Live,Practice,344115,"","Multiple Choice Question - Topic 1",English,1564136772954
do_11281333689474252819,"do_112777988509196288168,do_112776008691122176165,do_112811913749782528142,do_112811901172457472138,do_112777893753839616130,do_112812704485539840110,do_112775880653709312123",CBSE,Content,Live,Practice,340306,"somvit bhowmik, Creation, Reviewer User, Kartheek Palla","Your own name",English,1564128061954
do_11281333418303488018,"do_112812704485539840110,do_112811901172457472138,do_112777893753839616130,do_112811913749782528142,do_112777988509196288168,do_112776008691122176165,do_112775880653709312123",CBSE,Content,Live,Practice,341442,"Creation, Reviewer User, somvit bhowmik, Kartheek Palla","Your own name",English,1564127709436
do_11281333337450086417,do_11281333301233254416,CBSE,Content,Live,Practice,339500,"","Multiple Choice Question - Topic 1",English,1564127610424
do_11281332685760921615,do_11281332637138124814,CBSE,Content,Live,Practice,340968,"","Multiple Choice Question - Topic 1",English,1564126815198
do_112813320133230592129,"do_112811901172457472138,do_112776008691122176165,do_112777988509196288168,do_112812704485539840110,do_112811913749782528142,do_112777893753839616130,do_112775880653709312123",CBSE,Content,Live,Practice,339838,"Creation, somvit bhowmik, Reviewer User, Kartheek Palla","Your own name",English,1564125997736
do_112813297360920576113,"do_112777893753839616130,do_112775880653709312123,do_112777988509196288168,do_112812704485539840110,do_112811901172457472138,do_112776008691122176165,do_112811913749782528142",CBSE,Content,Live,Practice,341978,"Creation, Reviewer User, somvit bhowmik, Kartheek Palla","Your own name",English,1564123217145
do_11281329570965094418,"do_112776008691122176165,do_112777988509196288168,do_112812704485539840110,do_112811901172457472138,do_112811913749782528142,do_112777893753839616130,do_112775880653709312123",CBSE,Content,Live,Practice,327130,"Creation, Kartheek Palla, somvit bhowmik, Reviewer User","Your own name",English,1564123014550
do_11281329163958681611,"do_112812704485539840110,do_112777988509196288168,do_112776008691122176165,do_112811901172457472138,do_112811913749782528142,do_112777893753839616130,do_112775880653709312123",CBSE,Content,Live,Practice,326889,"Kartheek Palla, Creation, somvit bhowmik, Reviewer User","Your own name",English,1564122516914
do_112813283088605184157,"do_112811901172457472138,do_112776008691122176165,do_112775880653709312123,do_112811913749782528142,do_112777893753839616130,do_112777988509196288168,do_112812704485539840110",CBSE,Content,Live,Practice,341261,"Creation, somvit bhowmik, Kartheek Palla, Reviewer User","Your own name",English,1564121471960
do_112813281619763200156,"do_112812704485539840110,do_112777988509196288168,do_112811901172457472138,do_112776008691122176165,do_112777893753839616130,do_112775880653709312123,do_112811913749782528142",CBSE,Content,Live,Practice,339608,"Creation, Kartheek Palla, Reviewer User, somvit bhowmik","Your own name",English,1564121293799
do_112813278397087744153,"do_112811901172457472138,do_112776008691122176165,do_112811913749782528142,do_112777893753839616130,do_112775880653709312123,do_112777988509196288168,do_112812704485539840110",CBSE,Content,Live,Practice,340866,"Creation, Reviewer User, Kartheek Palla, somvit bhowmik","Your own name",English,1564120899405
do_112812783857008640144,"do_112812704485539840110,do_112777988509196288168,do_112811913749782528142,do_112777893753839616130,do_112775880653709312123,do_112811901172457472138,do_112776008691122176165",CBSE,Content,Live,Practice,341665,"Creation, Reviewer User, somvit bhowmik, Kartheek Palla","Your own name",English,1564060532865
do_112812771081084928137,"do_112811913749782528142,do_112777893753839616130,do_112775880653709312123,do_112777988509196288168,do_112812704485539840110,do_112811901172457472138,do_112776008691122176165",CBSE,Content,Live,Practice,342100,"","Your own name",English,1564058974982
do_112812759344758784134,"do_11279285549667123212,do_112788032534577152128,do_11278864195976396814,do_112812688688250880143,do_112788034458951680131",CBSE,Content,Live,Practice,342146,"Creation, Content Creator","Multiple Choice Question - Topic 1",English,1564057539108
do_112812756665622528131,"do_112812688688250880143,do_112788034458951680131,do_11279285549667123212,do_11278864195976396814",CBSE,Content,Live,Practice,340562,"Creation, Content Creator","Multiple Choice Question - Topic 1",English,1564057211430
do_112812750054653952130,"do_112771694655266816171,do_112812688688250880143,do_112769553133101056141,do_11279285549667123212",CBSE,Content,Live,Practice,340986,"creator1, Content Creator","Multiple Choice Question - Topic 1",English,1564056415556
do_112812743477829632129,"do_112812688688250880143,do_112769553133101056141,do_11279285549667123212,do_112771694655266816171",CBSE,Content,Live,Practice,340365,b00bc992ef25f1a9a8d63291e20efc8d,"Multiple Choice Question - Topic 1",English,1564055620571
do_112812741177720832128,"do_11279285549667123212,do_112771694655266816171,do_112769553133101056141,do_112812688688250880143",CBSE,Content,Live,Practice,341441,b00bc992ef25f1a9a8d63291e20efc8d,"Multiple Choice Question - Topic 1",English,1564055354681
do_112812740160667648126,"do_112811913749782528142,do_112777988509196288168,do_112775880653709312123,do_11278568162492416014207,do_112776008691122176165,do_112811901172457472138,do_112777893753839616130",CBSE,Content,Live,Practice,341844,b00bc992ef25f1a9a8d63291e20efc8d,"Very Short Answer - Topic 1",English,1564055196793
do_112812716323520512119,"do_11279285549667123212,do_112812688688250880143",CBSE,Content,Live,Practice,339694,b00bc992ef25f1a9a8d63291e20efc8d,"Multiple Choice Question - Topic 1",English,1564052286585
